Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,Gender,JobRole,MaritalStatus,NumCompaniesWorked,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,YearsSinceLastPromotion,GrossSalary,DailyRate,MonthlyIncome
41,Yes,Rarely,Audit,1,2,Audit,Female,Senior,Single,8,8,0,6,4,2,3,4,3,1,1,0,4937,224,3456
49,No,Frequently,HR,8,1,HR,Male,Senior,Married,1,10,3,10,7,3,2,2,4,4,3,1,5143,234,3600
37,Yes,Rarely,HR,2,2,HR,Male,Senior,Single,6,7,3,0,0,4,2,3,3,2,3,0,4000,182,2800
33,No,Frequently,HR,3,4,HR,Female,Junior,Married,1,8,3,8,7,4,3,3,3,3,3,3,2286,104,1600
27,No,Rarely,AAS,2,1,Audit,Male,Junior,Married,9,6,3,2,2,1,3,2,3,4,3,2,2286,104,1600
32,No,Frequently,AAS,2,2,Audit,Male,Junior,Single,0,8,2,7,7,4,3,4,3,3,2,3,2286,104,1600
59,No,Rarely,AAS,3,3,Audit,Female,Director,Married,4,20,3,1,1,3,4,3,4,3,2,0,6429,292,4500
30,No,Rarely,AAS,24,1,Audit,Male,Junior,Divorced,1,1,2,1,0,4,3,3,4,2,3,0,2286,104,1600
38,No,Frequently,AAS,23,3,Audit,Male,Senior,Single,0,10,2,9,7,4,2,3,4,2,3,1,3429,156,2400
36,No,Rarely,ITA,27,3,Audit,Male,Senior,Married,6,17,3,7,7,3,3,3,3,2,2,7,5631,257,3942
35,No,Rarely,ITA,16,3,Audit,Male,Junior,Married,0,6,5,5,4,1,4,2,3,3,3,0,2571,117,1800
29,No,Rarely,ITA,15,2,Audit,Female,Junior,Single,0,10,3,9,5,4,2,3,3,4,3,0,2571,117,1800
31,No,Rarely,ITA,26,1,Audit,Male,Junior,Divorced,1,5,1,5,2,1,3,3,3,4,2,4,2571,117,1800
34,No,Rarely,ITA,19,2,Audit,Male,Junior,Divorced,0,3,2,2,2,2,3,4,3,3,3,1,2571,117,1800
28,Yes,Rarely,ITA,24,3,Audit,Male,Junior,Single,5,6,4,4,2,3,2,3,3,2,3,0,2571,117,1800
29,No,Rarely,ITA,21,4,Audit,Female,Junior,Divorced,1,10,1,4,3,2,4,1,3,3,3,8,2571,117,1800
32,No,Rarely,ITA,5,2,Audit,Male,Junior,Divorced,0,7,5,6,2,1,4,2,3,4,2,0,2571,117,1800
22,No,Never,ITA,16,2,Audit,Male,Junior,Divorced,1,1,2,1,0,4,4,4,3,2,2,0,2571,117,1800
53,No,Rarely,Audit,2,4,Audit,Female,Director,Married,2,31,3,25,8,3,3,4,3,3,3,17,6429,292,4500
38,No,Rarely,ITA,2,3,Audit,Male,Senior,Single,5,6,3,3,2,4,3,4,3,3,3,1,5286,241,3700
24,No,Never,ITA,11,2,Audit,Female,Junior,Divorced,0,5,5,4,2,1,4,3,3,4,2,1,2000,91,1400
36,Yes,Rarely,DealAdvisory,9,4,Finance,Male,Senior,Single,7,10,4,5,3,3,2,1,4,2,3,0,3786,172,2650
34,No,Rarely,ITA,7,4,Audit,Female,Junior,Single,0,13,4,8,6,1,3,2,3,3,3,2,2857,130,2000
21,No,Rarely,ITA,15,2,Audit,Male,Junior,Single,1,0,6,0,0,3,3,4,3,4,3,0,2857,130,2000
34,Yes,Rarely,ITA,6,1,Audit,Male,Junior,Single,2,8,2,4,2,2,3,1,3,3,3,1,2857,130,2000
53,No,Rarely,ITA,5,3,Comptabilite,Female,Director,Divorced,4,26,3,14,13,3,3,3,3,4,2,1,3786,172,2650
32,Yes,Frequently,ITS,16,1,Comptabilite,Female,Junior,Single,1,10,5,10,2,2,1,1,4,2,3,6,2857,130,2000
42,No,Rarely,DealAdvisory,8,4,Finance,Male,Senior,Married,0,10,2,9,7,3,3,2,3,4,3,4,4000,182,2800
44,No,Rarely,ITS,7,4,Comptabilite,Female,Senior,Married,3,24,4,22,6,1,2,4,3,4,3,5,5000,227,3500
46,No,Rarely,DealAdvisory,2,4,Finance,Female,Senior,Single,3,22,2,2,2,2,3,1,3,4,2,2,3394,154,2376
33,No,Rarely,ITS,2,3,Comptabilite,Male,Junior,Single,4,7,3,1,1,3,3,4,3,4,3,0,2857,130,2000
44,No,Rarely,ITS,10,4,Comptabilite,Male,Senior,Married,2,9,5,4,2,4,3,4,3,4,4,1,3357,153,2350
30,No,Rarely,ITS,9,2,Comptabilite,Male,Junior,Single,1,10,5,10,0,4,2,3,3,1,3,1,2857,130,2000
39,Yes,Rarely,DealAdvisory,5,3,Finance,Male,Senior,Married,3,19,6,1,0,4,3,4,3,3,4,0,3286,130,2300
24,Yes,Rarely,ITS,1,3,Comptabilite,Male,Junior,Married,2,6,2,2,0,2,3,4,3,1,2,2,2000,91,1400
43,No,Rarely,ITS,2,2,Comptabilite,Female,Senior,Divorced,1,6,3,5,3,4,4,3,3,4,2,1,4286,195,3000
50,Yes,Rarely,DealAdvisory,3,2,Finance,Male,Senior,Married,1,3,2,3,2,1,2,3,3,3,3,0,5286,241,3700
35,No,Rarely,DealAdvisory,2,3,Finance,Female,Junior,Married,1,2,3,2,2,4,3,4,3,1,3,2,1571,72,1100
36,No,Rarely,ITS,5,4,Comptabilite,Female,Senior,Married,9,6,3,1,1,2,2,1,3,4,4,0,3394,154,2376
33,No,Frequently,DealAdvisory,1,3,Finance,Female,Junior,Married,2,10,3,5,3,3,4,1,3,1,3,1,2143,98,1500
35,No,Rarely,ITS,4,2,Comptabilite,Male,Junior,Divorced,1,1,3,1,0,3,3,4,3,3,3,0,2143,98,1500
27,No,Rarely,ITS,2,4,Comptabilite,Female,Junior,Divorced,1,1,6,1,0,4,3,1,3,4,3,0,2143,98,1500
26,Yes,Rarely,ITS,25,3,Comptabilite,Male,Junior,Single,1,1,2,1,0,1,1,3,3,3,2,0,2143,98,1500
27,No,Frequently,Audit,8,3,Audit,Male,Junior,Single,1,9,0,9,8,4,3,3,3,4,3,1,2143,98,1500
30,No,Frequently,ITS,1,2,Comptabilite,Female,Junior,Single,1,12,2,12,8,3,3,4,4,4,3,3,2143,98,1500
41,Yes,Rarely,ITS,12,3,Informatique,Female,Senior,Married,1,23,0,22,15,2,3,3,3,4,3,15,4937,224,3456
34,No,Never,Audit,23,4,Audit,Male,Junior,Single,0,10,2,9,5,2,3,3,4,3,3,8,2000,91,1400
37,No,Rarely,ITS,19,2,Informatique,Male,Senior,Married,4,8,1,1,0,2,3,2,4,1,3,0,3394,154,2376
46,No,Frequently,Audit,5,4,Audit,Male,Senior,Single,4,14,4,9,6,1,3,4,4,3,3,0,4937,224,3456
35,No,Rarely,ITS,8,1,Informatique,Male,Junior,Married,1,1,2,1,0,4,4,4,3,4,3,0,2000,91,1400
48,Yes,Rarely,Legal,1,2,Droit,Male,Senior,Single,9,23,2,1,0,1,2,3,3,4,3,0,4937,224,3456
28,Yes,Rarely,Legal,5,4,Droit,Male,Junior,Single,1,2,3,2,2,3,3,3,3,3,2,2,2143,98,1500
44,No,Rarely,Audit,1,5,Audit,Female,Senior,Divorced,5,9,2,4,3,2,3,1,4,3,2,1,3394,154,2376
35,No,Never,Legal,11,2,Droit,Male,Junior,Married,2,10,3,4,0,3,2,1,3,3,3,2,2571,117,1800
26,No,Rarely,Audit,23,3,Audit,Female,Junior,Married,7,5,2,2,2,3,2,4,3,3,2,0,2571,117,1800
33,No,Frequently,Legal,1,2,Droit,Female,Junior,Single,1,15,1,15,14,1,3,4,3,3,3,8,2571,117,1800
35,No,Frequently,Audit,18,5,Audit,Male,Junior,Married,1,9,3,9,8,2,3,1,4,4,2,1,2571,117,1800
35,No,Rarely,Legal,23,4,Droit,Female,Junior,Married,3,4,3,2,2,3,3,1,3,3,3,2,2571,117,1800
31,No,Rarely,Legal,7,4,Droit,Male,Junior,Divorced,3,10,3,7,7,4,3,4,4,4,2,1,2571,117,1800
37,No,Rarely,Legal,1,4,Droit,Male,Senior,Divorced,1,7,2,7,5,1,2,3,3,3,4,0,5143,234,3600
32,No,Rarely,Legal,1,3,Droit,Male,Junior,Married,1,9,3,9,8,1,3,4,4,2,3,7,2857,130,2000
38,No,Frequently,Legal,29,5,Droit,Female,Senior,Single,1,10,2,10,3,4,3,4,3,4,3,9,3429,156,2400
50,No,Rarely,Legal,7,2,Droit,Female,Senior,Divorced,5,29,2,27,3,2,2,3,3,4,2,13,3394,154,2376
59,No,Rarely,Audit,25,3,Audit,Female,Director,Single,7,28,3,21,16,3,3,3,3,4,2,5,6429,292,4500
36,No,Rarely,Legal,8,3,Droit,Female,Senior,Divorced,1,17,2,17,14,3,3,3,3,2,3,12,5143,234,3600
55,No,Rarely,Legal,8,3,Droit,Female,Director,Divorced,2,21,2,5,1,4,3,3,3,3,3,4,6429,292,4500
36,No,Frequently,Legal,11,3,Droit,Male,Senior,Single,1,6,3,6,5,2,2,2,3,3,3,0,3429,156,2400
45,No,Rarely,Legal,7,3,Droit,Male,Senior,Divorced,2,25,2,1,0,2,3,1,3,3,3,0,3394,154,2376
35,No,Frequently,Legal,1,3,Droit,Male,Junior,Married,4,5,2,3,2,2,3,1,3,4,2,1,2571,117,1800
36,Yes,Rarely,Consulting,9,3,Management,Male,Senior,Married,0,2,0,1,0,4,2,3,3,1,2,0,5143,234,3600
59,No,Frequently,Audit,1,1,Audit,Female,Director,Single,7,20,2,4,3,4,3,3,3,4,2,1,6571,299,4600
29,No,Rarely,Consulting,2,3,Management,Male,Junior,Married,0,6,3,5,4,3,3,2,4,4,3,0,1571,72,1100
31,No,Rarely,Consulting,1,4,Management,Male,Junior,Single,1,1,4,1,1,3,3,2,3,2,3,1,1571,72,1100
32,No,Rarely,Consulting,1,3,Management,Male,Junior,Married,1,10,3,10,4,2,3,2,3,2,3,0,1571,72,1100
36,No,Rarely,Consulting,6,3,Management,Female,Senior,Married,3,5,3,1,0,2,4,4,3,2,3,0,5143,234,3600
31,No,Rarely,Consulting,8,4,Management,Female,Junior,Single,1,11,2,11,7,3,3,4,4,4,3,1,2143,98,1500
35,No,Rarely,Audit,1,4,Audit,Male,Junior,Single,0,16,2,15,13,3,2,1,3,2,3,2,2143,98,1500
45,No,Rarely,Consulting,6,4,Management,Male,Senior,Married,4,17,3,0,0,4,3,1,3,2,4,0,3394,154,2376
37,No,Rarely,Consulting,7,4,Management,Male,Senior,Single,4,16,3,5,2,1,3,3,3,1,4,0,3394,154,2376
46,No,Rarely,HR,5,2,HR,Male,Senior,Divorced,8,16,2,4,2,2,3,2,4,4,3,0,3394,154,2376
30,No,Rarely,Consulting,1,1,Management,Male,Junior,Married,1,10,1,10,8,4,2,4,3,3,2,3,2857,130,2000
35,No,Rarely,Consulting,1,3,Management,Male,Junior,Single,1,6,3,6,4,2,2,3,3,1,3,0,2857,130,2000
55,No,Rarely,Audit,1,2,Audit,Male,Director,Married,3,24,4,1,1,4,3,4,3,4,3,0,3786,172,2650
38,No,Never,Consulting,6,3,Management,Female,Senior,Divorced,7,17,3,13,11,2,1,4,3,4,3,1,4000,182,2800
34,No,Rarely,Consulting,1,2,Management,Male,Junior,Married,1,5,2,5,2,1,3,2,3,3,3,1,2857,130,2000
56,No,Rarely,Consulting,7,3,Management,Male,Director,Single,4,37,3,6,4,4,4,4,3,3,2,2,6571,299,4600
23,No,Rarely,Audit,2,1,Audit,Male,Junior,Divorced,3,3,3,0,0,3,3,1,3,3,3,0,2571,117,1800
51,No,Rarely,Consulting,9,4,Management,Male,Director,Married,3,10,4,4,2,4,3,4,4,4,3,2,6571,299,4600
30,No,Rarely,Consulting,2,3,Management,Male,Junior,Married,1,11,3,11,10,3,2,4,3,1,3,10,2571,117,1800
46,Yes,Rarely,Audit,9,2,Audit,Male,Senior,Single,1,9,3,9,8,3,2,4,3,4,3,4,4000,182,2800
40,No,Frequently,Consulting,1,4,Management,Male,Senior,Married,1,22,3,22,3,3,2,2,4,4,2,11,3394,154,2376
51,No,Rarely,Audit,21,4,Audit,Male,Director,Single,3,11,2,10,7,3,3,4,4,4,1,3,6571,299,4600
30,No,Rarely,Audit,4,2,Comptabilite,Female,Junior,Divorced,1,11,4,11,8,3,2,2,3,2,2,2,2571,117,1800
46,No,Frequently,Consulting,1,3,Management,Male,Senior,Married,2,21,5,10,9,3,2,1,3,3,2,9,3429,156,2400
32,No,Rarely,Audit,6,4,Comptabilite,Male,Junior,Single,1,12,0,11,8,2,3,3,3,1,3,5,2286,104,1600
54,No,Rarely,Consulting,2,4,Management,Female,Director,Married,9,16,5,4,3,1,3,3,3,4,1,1,6571,299,4600
24,No,Rarely,Audit,3,2,Comptabilite,Female,Junior,Married,0,4,2,3,2,1,3,3,4,1,2,0,2286,104,1600
28,No,Never,Audit,4,3,Comptabilite,Male,Junior,Married,1,5,3,5,4,2,3,3,3,2,4,0,2286,104,1600
58,No,Rarely,Audit,10,4,Comptabilite,Male,Director,Single,3,38,1,37,10,4,3,3,3,3,2,17,6571,299,4600
44,No,Never,Consulting,23,3,Management,Male,Senior,Married,4,17,3,3,2,2,3,2,3,3,4,1,4000,182,2800
37,Yes,Rarely,HR,6,4,HR,Male,Senior,Divorced,4,7,3,3,2,3,3,1,4,4,3,0,3394,154,2376
32,No,Rarely,Consulting,1,1,Management,Male,Junior,Single,1,1,2,1,0,4,3,1,3,4,3,0,2286,104,1600
20,Yes,Frequently,Consulting,6,3,Management,Female,Junior,Single,1,1,5,1,0,4,2,4,3,2,3,1,2286,104,1600
34,No,Rarely,Consulting,6,4,Management,Female,Junior,Single,1,16,3,16,13,1,3,3,3,3,3,2,2286,104,1600
37,No,Never,Consulting,2,2,Management,Male,Senior,Divorced,5,17,2,1,0,3,2,4,3,4,4,0,3394,154,2376
59,No,Never,HR,2,4,HR,Female,Director,Married,9,30,3,3,2,3,4,4,4,4,3,1,5143,234,3600
50,No,Frequently,Consulting,1,3,Management,Female,Senior,Married,3,28,1,8,3,1,3,2,3,1,2,0,4000,182,2800
25,Yes,Rarely,Audit,5,3,Comptabilite,Male,Junior,Single,1,6,1,6,4,3,2,3,3,4,3,0,2143,98,1500
25,No,Rarely,Consulting,7,1,Management,Male,Junior,Married,1,2,2,2,2,4,2,4,3,3,3,2,2143,98,1500
22,No,Rarely,Consulting,15,3,Management,Female,Junior,Single,1,1,5,0,0,2,3,4,3,3,3,0,2143,98,1500
51,No,Frequently,Consulting,1,4,Management,Female,Director,Single,3,23,1,13,12,2,2,3,4,2,2,1,5143,234,3600
34,Yes,Frequently,Consulting,7,3,Management,Male,Junior,Single,1,9,3,9,7,1,1,3,4,4,3,0,2143,98,1500
54,No,Never,HR,26,3,HR,Female,Director,Single,2,23,3,5,3,4,4,4,3,3,3,2,5143,234,3600
24,No,Rarely,Consulting,18,1,Management,Male,Junior,Married,0,6,2,5,3,2,3,3,3,3,3,1,2571,117,1800
34,No,Rarely,Consulting,6,4,Management,Female,Junior,Divorced,6,12,3,1,0,3,2,2,3,3,3,0,2571,117,1800
37,No,Rarely,Audit,3,3,Comptabilite,Male,Senior,Single,2,12,3,5,3,3,3,4,3,1,3,1,4000,182,2800
34,No,Rarely,Marketing,5,3,Marketing,Female,Junior,Single,2,14,6,11,10,3,2,1,3,4,3,5,2571,117,1800
36,No,Frequently,Audit,11,2,Comptabilite,Female,Senior,Married,0,10,6,9,7,2,3,4,3,3,3,2,3429,156,2400
36,No,Rarely,Marketing,3,2,Marketing,Female,Senior,Divorced,5,7,2,1,0,1,3,4,4,1,3,0,3394,154,2376
43,No,Frequently,Audit,26,2,Comptabilite,Male,Senior,Married,1,25,3,25,12,3,3,4,3,4,4,4,3429,156,2400
30,No,Frequently,Marketing,23,3,Marketing,Male,Junior,Divorced,1,10,2,10,7,1,1,3,4,3,2,0,1571,72,1100
33,No,Never,Audit,22,2,Comptabilite,Male,Junior,Married,0,8,2,7,7,3,3,2,3,1,4,0,1571,72,1100
56,Yes,Rarely,Marketing,14,4,Marketing,Female,Director,Married,9,20,2,5,4,3,3,4,3,1,3,1,5143,234,3600
51,No,Rarely,Marketing,6,3,Marketing,Male,Director,Single,7,23,5,20,10,3,3,3,3,3,3,10,3786,172,2650
31,Yes,Rarely,Audit,6,4,Comptabilite,Male,Junior,Married,4,12,3,7,7,2,1,3,3,2,2,7,1571,72,1100
26,No,Rarely,Marketing,6,3,Marketing,Female,Junior,Married,1,5,3,5,4,3,2,2,3,3,2,4,1571,72,1100
58,Yes,Rarely,Marketing,23,4,Marketing,Female,Director,Married,1,40,3,40,20,4,3,4,3,4,2,20,3786,172,2650
19,Yes,Rarely,Audit,22,1,Comptabilite,Male,Junior,Single,1,0,2,0,0,4,3,3,3,4,2,0,1571,72,1100
22,No,Rarely,Marketing,2,1,Marketing,Male,Junior,Married,0,3,2,2,1,3,3,4,3,3,3,2,1571,72,1100
